https://docs.google.com/spreadsheets/d/1WKfDrVcWOskZSHPhmuD6yrZ6Npr1AynOsBh7UwELvBg/edit?gid=61091455#gid=61091455,Property,Occupied ,Collections %,Month Outstanding,Total Outstanding,Eviction Risk,Lease Health,,,,
Sam,Oakwood Gardens ,90.0%,97.7%,"$1,201.62","$4,567.62",1,55.56%,,,,
Sarah,Pioneer Apartments ,100.0%,104.7%,-$961.28,-$961.28,0,70.00%,,,,
,,86.4%,96.5%,"$7,166.73","$16,545.97",3,60.75%,,,,
12/1/2025,,,,,,,,,,,
Sarah,,91.8%,21.8%,"$50,821.63","$54,921.20",0,75.44%,,,,
Karen,,79.4%,17.8%,"$44,779.63","$53,618.37",2,73.41%,,,,
Sam,,87.8%,25.6%,"$61,269.05","$71,963.48",1,55.70%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,100.0%,0.2%,"$3,917.00","$3,917.00",0,75.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,0.0%,"$4,600.00","$4,600.00",0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,1.7%,"$2,875.00","$3,263.75",0,100.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,8.4%,"$1,282.00","$1,282.00",0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,50.0%,"$1,200.00","$1,200.00",0,100.00%,,,,
Sarah,Glen Oaks ,88.9%,33.1%,"$19,322.86","$21,832.45",0,65.63%,,,,
Karen,Hilltop Townhomes ,72.5%,16.4%,"$31,861.34","$39,379.08",2,78.38%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,85.0%,13.6%,"$26,673.46","$28,478.89",0,55.88%,,,,
Karen,Normandy Apartments,95.5%,21.1%,"$12,918.29","$14,239.29",0,61.90%,,,,
Sam,Oakwood Gardens ,90.0%,35.3%,"$34,595.59","$43,484.59",1,55.56%,,,,
Sarah,Pioneer Apartments ,100.0%,17.8%,"$17,624.77","$18,826.00",0,80.00%,,,,
,,86.8%,25.4%,"$156,870.31","$180,503.05",3,67.44%,,,,
12/8/2025,,,,,,,,,,,
Sarah,,90.6%,84.0%,"$10,167.92","$12,975.54",0,79.12%,,,,
Karen,,79.4%,67.2%,"$15,559.26","$22,516.01",2,73.41%,,,,
Sam,,88.9%,82.5%,"$14,703.51","$21,987.64",1,54.99%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,70.1%,$875.00,$928.75,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,74.8%,$925.00,$980.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$1,160.00",0,100.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,93.4%,$92.00,$92.00,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,100.0%,$0.00,$0.00,0,100.00%,,,,
Sarah,Glen Oaks ,88.9%,80.2%,"$5,723.07","$7,866.14",0,68.75%,,,,
Karen,Hilltop Townhomes ,72.5%,57.9%,"$14,059.74","$20,325.49",2,78.38%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,90.0%,80.1%,"$6,565.05","$7,547.48",0,55.56%,,,,
Karen,Normandy Apartments,95.5%,88.9%,"$1,499.52","$2,190.52",0,61.90%,,,,
Sam,Oakwood Gardens ,88.0%,84.4%,"$8,138.46","$14,440.16",1,54.55%,,,,
Sarah,Pioneer Apartments ,100.0%,92.1%,"$1,827.85","$1,948.65",0,83.33%,,,,
,,86.8%,80.6%,"$40,430.69","$57,479.19",3,68.37%,,,,
12/15/2025,,,,,,,,,,,
Sarah,,90.6%,90.6%,"$5,765.59","$8,534.09",2,78.97%,,,,
Karen,,80.8%,76.3%,"$9,870.96","$17,202.21",2,75.65%,,,,
Sam,,88.9%,92.6%,"$5,933.95","$12,402.33",1,59.99%,,,,
Sarah,1511 Sylvan Lane                                                                                                                                                ,75.0%,70.1%,$875.00,$908.75,0,100.00%,,,,
Sarah,3909 North Oakland Gravel Road                                                                                                                                                    ,66.7%,100.0%,$0.00,$0.00,0,75.00%,,,,
Sarah,407 Pecan Street                                                                                                                                                  ,80.0%,75.2%,$725.00,"$1,230.00",0,100.00%,,,,
Sarah,801-803 Washington Avenue                                                                                                                                                      ,100.0%,106.5%,-$90.40,-$90.40,0,100.00%,,,,
Sarah,811 South Fairview Road                                                                                                                                                    ,100.0%,100.0%,$0.00,$0.00,1,100.00%,,,,
Sarah,Glen Oaks ,88.9%,89.5%,"$2,814.69","$4,783.64",1,65.63%,,,,
Karen,Hilltop Townhomes ,74.5%,70.6%,"$8,264.94","$15,446.19",2,81.58%,,,,
Sam,Maple Manor Apartments                                                                                                                                             ,90.0%,88.8%,"$3,726.50","$4,808.43",0,61.11%,,,,
Karen,Normandy Apartments,95.5%,89.5%,"$1,606.02","$1,756.02",0,61.90%,,,,
Sam,Oakwood Gardens ,88.0%,95.7%,"$2,207.45","$7,593.90",1,59.09%,,,,
Sarah,Pioneer Apartments ,100.0%,93.7%,"$1,441.30","$1,702.10",0,86.67%,,,,
,,87.2%,89.4%,"$21,570.50","$38,138.63",5,70.83%,,,,
12/22/2025,,,,,,,,,,,
Sarah,,90.6%,93.1%,"$4,220.59","$7,674.09",2,80.29%,,,,
Karen,,82.2%,82.8%,"$7,694.46","$13,448.21",2,75.98%,,,,
Sam,,88.9%,93.6%,"$5,214.95","$11,768.33",1,66.19%,,,,
